GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ape-user,com.psj.user.websocket,DemoSocket,206,19,8,0,52,5,10,2,6,2
ape-user,com.psj.user.controller,SysUserController,13,7,2,0,4,2,2,2,1,2
ape-user,com.psj.user.controller,BingfaTest.Worker,84,0,4,0,21,0,5,0,3,0
ape-user,com.psj.user.controller,BingfaTest,26,0,0,0,8,0,3,0,3,0
ape-user,com.psj.user.controller,Demotest,90,0,4,0,28,0,9,0,7,0
ape-user,com.psj.user.controller,UserController,64,3,6,0,17,1,8,1,5,1
ape-user,com.psj.user.job,SampleXxlJob,43,7,2,0,7,2,2,2,1,2
ape-user,com.psj.user.designpattern.stragetypattern.handler,WxPayHandler,4,5,0,0,2,2,1,2,1,2
ape-user,com.psj.user.designpattern.stragetypattern.handler,ZfbPayHandler,0,9,0,0,0,4,0,3,0,3
ape-user,com.psj.user.designpattern.stragetypattern.handler,BankPayHandler,4,5,0,0,2,2,1,2,1,2
ape-user,com.psj.user.designpattern.mydisign.handler,MyZfbPayHandler,4,5,0,0,2,2,1,2,1,2
ape-user,com.psj.user.designpattern.mydisign.handler,UserTest,83,0,14,0,2,0,14,0,7,0
ape-user,com.psj.user.designpattern.mydisign.handler,UserPermission,44,0,0,0,5,0,1,0,1,0
ape-user,com.psj.user.designpattern.mydisign.handler,MyWxPayHandler,4,5,0,0,2,2,1,2,1,2
ape-user,com.psj.user.designpattern.mydisign.handler,MyBankPayHandler,0,9,0,0,0,4,0,3,0,3
ape-user,com.psj.user.designpattern.mydisign.handler,AbstractPayHandler,0,21,0,0,0,9,0,4,0,4
ape-user,com.psj.user.entity.dto,UserDto,212,0,38,0,5,0,32,0,13,0
ape-user,com.psj.user.entity.req,UserAddReq,126,0,22,0,3,0,20,0,9,0
ape-user,com.psj.user.entity.req,UserReq,212,0,38,0,5,0,32,0,13,0
ape-user,com.psj.user,UserApplication,10,7,0,0,3,2,1,2,1,2
ape-user,com.psj.user.cache,SysUserCache,25,10,2,0,8,3,4,2,3,2
ape-user,com.psj.user.designpattern.stragetypattern,PayChannelEnum,4,71,2,2,1,11,2,3,0,3
ape-user,com.psj.user.designpattern.stragetypattern,PayFactory,0,37,0,2,0,8,0,4,0,3
ape-user,com.psj.user.designpattern.stragetypattern,PayHandlerDemo,0,11,0,0,0,4,0,2,0,2
ape-user,com.psj.user.designpattern.mydisign,MyPayHandlerDemo,0,12,0,0,0,4,0,2,0,2
ape-user,com.psj.user.designpattern.mydisign,MyPayFactory,0,37,0,2,0,8,0,4,0,3
ape-user,com.psj.user.designpattern.mydisign,MyPayChannelEnum,2,73,1,3,1,11,1,4,0,3
ape-user,com.psj.user.entity.po,SysUserPo,427,0,78,0,10,0,62,0,23,0
ape-user,com.psj.user.entity.po,UserPo,169,0,30,0,4,0,26,0,11,0
ape-user,com.psj.user.service.impl,SysUserServiceImpl,34,3,0,0,7,1,6,1,6,1
ape-user,com.psj.user.service.impl,UserServiceImpl,43,3,0,0,9,1,3,1,3,1
ape-user,com.psj.user.config,CustomNameThreadFactory,5,63,2,2,1,10,2,2,0,2
ape-user,com.psj.user.config,ExecutorConfig,0,24,0,0,0,3,0,2,0,2
ape-user,com.psj.user.convert,UserConverter,5,0,0,0,1,0,1,0,1,0
ape-user,com.psj.user.convert,UserConverterImpl,65,0,6,0,21,0,7,0,4,0
ape-user,com.psj.user.designpattern.templatepattern,ApiTemplateDemo.new Action() {...},15,0,0,0,7,0,4,0,4,0
ape-user,com.psj.user.designpattern.templatepattern,ApiTemplate,27,0,0,0,11,0,2,0,2,0
ape-user,com.psj.user.designpattern.templatepattern,ApiTemplateDemo,19,0,0,0,6,0,2,0,2,0
